"id_offre","date_de_creation","description","intitule","nb_places","user_id","image","sessions_id_session","qrcode"
"1","2024-03-01 23:41:03.000000","A high-level programming language","Java Developper","2","2","https://www.actia.com/images/logo-actia.png","1",NULL
"6","2024-03-03 18:47:14.000000","Créer des algorithmes d'apprentissage automatique aa","Ingénieur Data Science","2","4","/assets/vermegpng.png","1",NULL
"18","2024-03-06 23:08:46.000000","Conception et développement de logiciels embarqués pour des dispositifs IoT, maîtrise de Linux embarqué, des protocoles IP et des outils de DevOps.","Stage Ingénieur Systèmes Embarqués (1 an d'expérience)","1","2","https://www.actia.com/images/logo-actia.png","1",NULL
"20","2024-03-06 23:33:59.000000","Developpement d'une application web native","react js et react native","5","2","https://www.actia.com/images/logo-actia.png","1","http://api.qrserver.com/v1/create-qr-code/?data=OffreDetails:0,Titre:Developpeur google,Description:Developpement d'une application web native, Nombre de place:5, Date de création:2024-03-06T23:33:59.540, Sociéte:actia&size=100x100"
"22","2024-03-31 22:39:48.000000","Expérience dans le développement de firmwares pour des systèmes embarqués, familiarité avec Linux, DevOps et l'intégration d'IP dans des applications embarquées. 300dt","Stage Développeur Firmware (6 mois d'expérience) ","3","4","/assets/vermegpng.png","1",NULL
"23","2024-03-31 22:39:48.000000","Gestion des infrastructures cloud, automatisation avec Terraform, mise en place de pipelines CI/CD, surveillance avec Grafana et mise en place de workflows avec Apache Airflow.","Stage Ingénieur DevOps Cloud (1 an d'expérience)","5","4","/assets/vermegpng.png","1",NULL
"24","2024-03-31 22:39:48.000000","Gérer les déploiements cloud, la configuration de serveurs Linux, l'utilisation de Vagrant pour la création d'environnements de développement, et la mise en place d'infrastructures cloud évolutives.","Stage Administrateur Cloud (6 mois d'expérience)","4","4","/assets/vermegpng.png","1",NULL
"25",NULL,"Participer au développement d'applications Android en utilisant Java et les dernières technologies Google.","Stage Développeur Java Android (6 mois d'expérience) ","2","20",NULL,NULL,NULL
"26",NULL,"Conception et développement d'applications web avec Laravel, PHP et des technologies front-end comme Vue.js.","Stage Développeur Web PHP Laravel (6 mois d'expérience) ","5","21",NULL,NULL,NULL
"29",NULL,"Expérience en Python et développement d'algorithmes de machine learning avec des bibliothèques comme scikit-learn ou TensorFlow","Stage Développeur Machine Learning Python (1 an d'expérience)","1","24",NULL,NULL,NULL
"30",NULL,"Participer au développement d'applications Android en utilisant Kotlin et les dernières technologies Google.","Stage Développeur Android Kotlin (6 mois d'expérience)","2","22",NULL,NULL,NULL
"31",NULL,"Travailler sur des projets utilisant React.js, JavaScript et des technologies associées pour le développement d'interfaces utilisateur.","Stage Développeur React.js (6 mois d'expérience)","6","23",NULL,NULL,NULL
"32",NULL,"Expérience avec Symfony, PHP et développement back-end pour des applications web.","Stage Développeur Back-end PHP Symfony (6 mois d'expérience)","6","20",NULL,NULL,NULL
"33",NULL,"Conception et développement d'applications iOS en Swift, avec une connaissance préalable d'Objective-C","Stage Développeur Mobile iOS (1 an d'expérience)","1","24",NULL,NULL,NULL
"34",NULL,"Participer au développement d'applications Java avec Spring Boot et Hibernate.250dt","Stage Développeur Java Spring Boot (6 mois d'expérience)","3","20",NULL,NULL,NULL
"35",NULL,"Maîtrise de HTML, CSS, JavaScript et frameworks comme React.js pour la création d'interfaces utilisateur dynamiques.500dt","Stage Développeur Web Front-end (1 an d'expérience)","8","20",NULL,NULL,NULL
"36",NULL,"Contribuer à des projets Python, notamment dans le domaine du machine learning, avec des frameworks comme TensorFlow ou PyTorch","Stage Développeur Python (6 mois d'expérience)","1","21",NULL,NULL,NULL
"37",NULL,"Expérience avec React Native, JavaScript et développement d'applications mobiles multiplateformes ","Stage Développeur React Native (6 mois d'expérience) ","1","22",NULL,NULL,NULL
"38",NULL,"Conception et développement d'applications web avec Node.js, React.js et MongoDB","Stage Développeur Web Full Stack (1 an d'expérience)","2","24",NULL,NULL,NULL
"39",NULL,"Expérience avancée en C++ pour le développement de logiciels et d'applications.","Stage Développeur C++ (1 an d'expérience) ","1","23",NULL,NULL,NULL
"40",NULL,"Participer à des projets utilisant Vue.js, HTML, CSS et JavaScript pour le développement d'interfaces utilisateur.","Stage Développeur Front-end Vue.js (6 mois d'expérience)","1","21",NULL,NULL,NULL
"41",NULL," Contribuer au développement d'applications iOS en Swift, avec une connaissance préalable d'Objective-C.","Stage Développeur iOS Swift (6 mois d'expérience)","2","21",NULL,NULL,NULL
"42",NULL,"Expérience requise en PHP, Laravel, Vue.js et HTML/CSS pour le développement de sites web dynamiques. 200dt","Stage Développeur Web PHP (1 an d'expérience)","4","20",NULL,NULL,NULL
"43",NULL,"Participation à la conception et au développement d'applications mobiles Android en Java et Kotlin.","Stage Développeur Mobile Android (6 mois d'expérience)","2","22",NULL,NULL,NULL
"44",NULL,"Travailler sur des projets Java EE, Spring Framework et Hibernate","Stage Développeur Java Back-end (6 mois d'expérience)","3","21",NULL,NULL,NULL
"45",NULL,"Maîtrise de Java, React.js, Node.js et expérience avec les bases de données MongoDB.","Stage Développeur Full Stack (1 an d'expérience) ","0",NULL,NULL,NULL,NULL
"46",NULL,"Conception et développement d'applications web avec Java,","Stage Développeur Java Junior (6 mois d'expérience) ","0",NULL,NULL,NULL,NULL
